iter	Passed	Remaining
617	4957	3064
618	4965	3056
619	4973	3048
620	4981	3039
621	4988	3031
622	4996	3023
623	5005	3015
624	5013	3008
625	5021	3000
626	5029	2992
627	5038	2984
628	5045	2976
629	5053	2967
630	5061	2959
631	5069	2951
632	5077	2943
633	5085	2935
634	5092	2927
635	5100	2919
636	5108	2911
637	5116	2903
638	5124	2894
639	5131	2886
640	5139	2878
641	5147	2870
642	5156	2862
643	5163	2854
644	5171	2846
645	5180	2838
646	5188	2830
647	5195	2822
648	5204	2814
649	5212	2806
650	5220	2798
651	5228	2790
652	5236	2782
653	5244	2774
654	5252	2766
655	5260	2758
656	5268	2750
657	5276	2742
658	5283	2734
659	5291	2726
660	5299	2718
661	5307	2710
662	5315	2702
663	5324	2694
664	5331	2685
665	5339	2677
666	5347	2669
667	5354	2661
668	5362	2653
669	5370	2644
670	5377	2636
671	5386	2628
672	5394	2621
673	5402	2613
674	5410	2605
675	5418	2597
676	5426	2589
677	5434	2581
678	5442	2572
679	5450	2564
680	5458	2557
681	5466	2548
682	5473	2540
683	5481	2532
684	5489	2524
685	5496	2516
686	5504	2508
687	5511	2499
688	5518	2491
689	5526	2482
690	5534	2474
691	5541	2466
692	5549	2458
693	5556	2449
694	5564	2441
695	5571	2433
696	5578	2425
697	5585	2416
698	5592	2408
699	5600	2400
700	5607	2391
701	5615	2383
702	5622	2375
703	5629	2366
704	5637	2358
705	5644	2350
706	5651	2342
707	5658	2333
708	5666	2325
709	5673	2317
710	5681	2309
711	5688	2301
712	5696	2292
713	5704	2284
714	5711	2276
715	5718	2268
716	5725	2259
717	5732	2251
718	5740	2243
719	5747	2235
720	5755	2227
721	5762	2218
722	5770	2210
723	5778	2202
724	5786	2194
725	5794	2186
726	5802	2178
727	5810	2170
728	5817	2162
729	5825	2154
730	5833	2146
731	5840	2138
732	5849	2130
733	5857	2122
734	5865	2114
735	5873	2106
736	5881	2098
737	5889	2090
738	5897	2082
739	5904	2074
740	5913	2066
741	5920	2058
742	5929	2050
743	5937	2042
744	5944	2034
745	5953	2027
746	5961	2019
747	5970	2011
748	5977	2003
749	5985	1995
750	5993	1987
751	6001	1979
752	6009	1971
753	6017	1963
754	6024	1955
755	6032	1947
756	6040	1938
757	6048	1930
758	6055	1922
759	6063	1914
760	6071	1906
761	6079	1898
762	6086	1890
763	6094	1882
764	6102	1874
765	6110	1866
766	6118	1858
767	6126	1850
768	6133	1842
769	6141	1834
770	6149	1826
771	6158	1818
772	6166	1810
773	6173	1802
774	6181	1794
775	6189	1786
776	6196	1778
777	6204	1770
778	6212	1762
779	6220	1754
780	6228	1746
781	6236	1738
782	6244	1730
783	6252	1722
784	6260	1714
785	6268	1706
786	6276	1698
787	6283	1690
788	6292	1682
789	6299	1674
790	6307	1666
791	6315	1658
792	6322	1650
793	6330	1642
794	6338	1634
795	6346	1626
796	6353	1618
797	6361	1610
798	6368	1602
799	6376	1594
800	6384	1586
801	6391	1577
802	6399	1570
803	6407	1562
804	6415	1554
805	6423	1546
806	6430	1538
807	6438	1529
808	6446	1521
809	6455	1514
810	6463	1506
811	6472	1498
812	6479	1490
813	6487	1482
814	6494	1474
815	6501	1466
816	6509	1457
817	6516	1449
818	6523	1441
819	6531	1433
820	6538	1425
821	6546	1417
822	6554	1409
823	6561	1401
824	6569	1393
825	6577	1385
826	6585	1377
827	6593	1369
828	6601	1361
829	6609	1353
830	6616	1345
831	6624	1337
832	6632	1329
833	6639	1321
834	6648	1313
835	6656	1305
836	6664	1297
837	6673	1290
838	6681	1282
839	6690	1274
840	6698	1266
841	6706	1258
842	6714	1250
843	6723	1242
844	6730	1234
845	6739	1226
846	6747	1218
847	6756	1211
848	6764	1203
849	6772	1195
850	6779	1187
851	6787	1179
852	6795	1171
853	6804	1163
854	6812	1155
855	6820	1147
856	6828	1139
857	6835	1131
858	6843	1123
859	6850	1115
860	6857	1107
861	6865	1099
862	6872	1091
863	6879	1082
864	6887	1074
865	6894	1066
866	6902	1058
867	6910	1050
868	6917	1042
869	6924	1034
870	6932	1026
871	6939	1018
872	6946	1010
873	6956	1002
874	6963	994
875	6970	986
876	6978	978
877	6985	970
878	6992	962
879	7001	954
880	7009	946
881	7016	938
882	7024	930
883	7031	922
884	7038	914
885	7045	906
886	7052	898
887	7059	890
888	7067	882
889	7075	874
890	7083	866
891	7091	858
892	7098	850
893	7107	842
894	7114	834
895	7122	826
896	7130	818
897	7138	810
898	7146	802
899	7153	794
900	7161	786
901	7168	778
902	7176	770
903	7184	762
904	7191	754
905	7199	746
906	7207	739
907	7215	731
908	7223	723
909	7231	715
910	7239	707
911	7247	699
912	7255	691
913	7263	683
914	7270	675
915	7278	667
916	7286	659
917	7294	651
918	7302	643
919	7310	635
920	7318	627
921	7325	619
922	7333	611
923	7342	603
924	7350	595
925	7358	588
926	7365	580
927	7372	572
928	7384	564
929	7392	556
930	7399	548
931	7407	540
932	7416	532
933	7423	524
934	7431	516
935	7439	508
936	7448	500
937	7456	492
938	7464	484
939	7472	476
940	7480	469
941	7488	461
942	7496	453
943	7504	445
944	7512	437
945	7520	429
946	7528	421
947	7535	413
948	7544	405
949	7552	397
950	7560	389
951	7567	381
952	7575	373
953	7583	365
954	7591	357
955	7599	349
956	7607	341
957	7614	333
958	7622	325
959	7630	317
960	7638	309
961	7646	302
962	7654	294
963	7662	286
964	7669	278
965	7677	270
966	7686	262
967	7694	254
968	7702	246
969	7711	238
970	7719	230
971	7728	222
972	7737	214
973	7746	206
974	7754	198
975	7763	190
976	7772	182
977	7780	175
978	7788	167
979	7796	159
980	7804	151
981	7813	143
982	7821	135
983	7828	127
984	7836	119
985	7843	111
986	7851	103
987	7859	95
988	7867	87
989	7875	79
990	7884	71
991	7892	63
992	7899	55
993	7907	47
994	7914	39
995	7922	31
996	7930	23
997	7937	15
998	7946	7
999	7955	0
